Issue Type,Summary,Epic Name,Epic Link,Priority,Description,Labels
Epic,"[ASH] E-01 平台基础与鉴权","ASH-E01-Platform-Foundation",,P0,"完成基础框架、鉴权、RBAC、网关能力。","ash,mvp,e01"
Epic,"[ASH] E-02 助理与任务编排","ASH-E02-Assistant-Orchestration",,P0,"打通任务创建、执行、状态流转、SSE 实时日志。","ash,mvp,e02"
Epic,"[ASH] E-03 记忆体与知识协同","ASH-E03-Memory-Knowledge",,P0,"实现记忆写入、检索、治理与可追踪。","ash,mvp,e03"
Epic,"[ASH] E-04 工程自动化链路","ASH-E04-Engineering-Automation",,P0,"完成 Repo/CI 接入、日志读取、失败诊断。","ash,mvp,e04"
Epic,"[ASH] E-05 团队空间与协作","ASH-E05-Space-Collaboration",,P1,"空间管理、成员权限、任务共享。","ash,mvp,e05"
Epic,"[ASH] E-06 反馈与指标看板","ASH-E06-Feedback-Metrics",,P1,"反馈闭环与 KPI 看板建设。","ash,mvp,e06"
Epic,"[ASH] E-07 稳定性与发布治理","ASH-E07-Reliability-Release",,P0,"可观测、压测、灰度、回滚与发布治理。","ash,mvp,e07"
Story,"[ASH][E-01] 项目基础脚手架",,ASH-E01-Platform-Foundation,P0,"前后端可本地启动，补齐工程目录、规范与启动脚本。","ash,mvp,e01,foundation"
Story,"[ASH][E-01] 登录与权限体系",,ASH-E01-Platform-Foundation,P0,"实现 JWT、RBAC、空间权限校验与审计日志。","ash,mvp,e01,auth"
Story,"[ASH][E-02] 任务管理 API",,ASH-E02-Assistant-Orchestration,P0,"支持任务创建/查询/启动/取消，状态流转受控。","ash,mvp,e02,task"
Story,"[ASH][E-02] Agent 运行编排",,ASH-E02-Assistant-Orchestration,P0,"实现 Planner/Executor/Reviewer 编排与异常状态处理。","ash,mvp,e02,agent"
Story,"[ASH][E-02] 执行流实时展示",,ASH-E02-Assistant-Orchestration,P0,"通过 SSE 推送运行日志，前端可实时展示与重连。","ash,mvp,e02,sse"
Story,"[ASH][E-03] 记忆 CRUD 与检索",,ASH-E03-Memory-Knowledge,P0,"支持记忆写入、检索、更新、删除，覆盖 user/project/session。","ash,mvp,e03,memory"
Story,"[ASH][E-03] 记忆治理机制",,ASH-E03-Memory-Knowledge,P0,"实现 TTL 过期、命中事件记录、置信度调整。","ash,mvp,e03,memory-governance"
Story,"[ASH][E-04] Repo/CI 连接能力",,ASH-E04-Engineering-Automation,P0,"连接代码仓库与 CI，支持流水线状态和日志查询。","ash,mvp,e04,ci"
Story,"[ASH][E-04] CI 失败诊断",,ASH-E04-Engineering-Automation,P0,"输出根因分析与修复建议，提升修复效率。","ash,mvp,e04,diagnosis"
Story,"[ASH][E-05] 空间与成员管理",,ASH-E05-Space-Collaboration,P1,"支持空间创建、成员添加、角色分配。","ash,mvp,e05,space"
Story,"[ASH][E-05] 空间任务协作",,ASH-E05-Space-Collaboration,P1,"支持空间维度任务列表与状态协同。","ash,mvp,e05,collaboration"
Story,"[ASH][E-06] 反馈闭环",,ASH-E06-Feedback-Metrics,P1,"支持评分、分类、文本反馈与低分告警。","ash,mvp,e06,feedback"
Story,"[ASH][E-06] KPI 看板",,ASH-E06-Feedback-Metrics,P1,"按项目/空间展示核心指标并支持趋势分析。","ash,mvp,e06,metrics"
Story,"[ASH][E-07] 可观测与告警",,ASH-E07-Reliability-Release,P0,"接入日志、链路、指标与告警规则。","ash,mvp,e07,observability"
Story,"[ASH][E-07] 发布与灰度",,ASH-E07-Reliability-Release,P0,"执行发布清单、灰度策略与回滚演练。","ash,mvp,e07,release"
