Issue Type,Summary,Epic Link,Parent,Priority,Description,Labels
Task,"[ASH][E-01][S01] 创建前端 Vite + React + TS 脚手架",ASH-E01-Platform-Foundation,"[ASH][E-01] 项目基础脚手架",P0,"初始化 frontend 工程，配置路由、基础布局与开发命令。","ash,mvp,e01,frontend"
Task,"[ASH][E-01][S01] 创建后端 Gin API/Worker 脚手架",ASH-E01-Platform-Foundation,"[ASH][E-01] 项目基础脚手架",P0,"初始化 backend 工程，拆分 cmd/ash-api 与 cmd/ash-worker。","ash,mvp,e01,backend"
Task,"[ASH][E-01][S01] 接入代码规范与提交检查",ASH-E01-Platform-Foundation,"[ASH][E-01] 项目基础脚手架",P1,"配置 ESLint/Prettier/go fmt，并形成最小提交规范。","ash,mvp,e01,quality"
Task,"[ASH][E-01][S02] 实现 JWT 登录与鉴权中间件",ASH-E01-Platform-Foundation,"[ASH][E-01] 登录与权限体系",P0,"实现 token 签发、鉴权中间件与过期处理。","ash,mvp,e01,auth"
Task,"[ASH][E-01][S02] 实现 RBAC 与空间权限校验",ASH-E01-Platform-Foundation,"[ASH][E-01] 登录与权限体系",P0,"实现 owner/developer/viewer 角色校验与空间隔离。","ash,mvp,e01,rbac"
Task,"[ASH][E-01][S02] 增加审计日志字段与拦截",ASH-E01-Platform-Foundation,"[ASH][E-01] 登录与权限体系",P1,"记录 traceId/userId/spaceId 与关键动作审计日志。","ash,mvp,e01,audit"
Task,"[ASH][E-02][S01] 实现 POST /v1/tasks",ASH-E02-Assistant-Orchestration,"[ASH][E-02] 任务管理 API",P0,"支持创建任务并落库，返回 taskId 与初始状态。","ash,mvp,e02,task-api"
Task,"[ASH][E-02][S01] 实现 GET /v1/tasks/{id}",ASH-E02-Assistant-Orchestration,"[ASH][E-02] 任务管理 API",P0,"支持任务详情查询与状态返回。","ash,mvp,e02,task-api"
Task,"[ASH][E-02][S01] 实现 POST /v1/tasks/{id}/start|cancel",ASH-E02-Assistant-Orchestration,"[ASH][E-02] 任务管理 API",P0,"支持任务启动与取消，并校验状态机流转。","ash,mvp,e02,task-api"
Task,"[ASH][E-02][S02] 实现 agent_runs 与 task_steps 状态机",ASH-E02-Assistant-Orchestration,"[ASH][E-02] Agent 运行编排",P0,"实现 PLANNING/EXECUTING/REVIEWING/DONE 等状态流转。","ash,mvp,e02,agent"
Task,"[ASH][E-02][S02] 实现 Planner/Executor/Reviewer 编排",ASH-E02-Assistant-Orchestration,"[ASH][E-02] Agent 运行编排",P0,"完成任务分解、步骤执行、结果评审闭环。","ash,mvp,e02,agent"
